datetime,open,high,low,close,volume,trade_count,vwap
2025-06-27 04:00:00+00:00,612.895,616.39,610.9,614.83,1601093.0,18120.0,613.948914
2025-06-30 04:00:00+00:00,617.4,619.2,615.04,617.83,1848972.0,21567.0,616.997016
2025-07-01 04:00:00+00:00,616.395,618.81,615.56,617.64,1111353.0,13476.0,617.402099
2025-07-02 04:00:00+00:00,617.29,620.47,616.64,620.425,1217070.0,13403.0,619.154623
2025-07-03 04:00:00+00:00,622.47,626.26,622.46,625.41,745013.0,8986.0,625.026198
2025-07-07 04:00:00+00:00,623.33,623.99,617.89,620.99,1106758.0,13573.0,620.822369
2025-07-08 04:00:00+00:00,621.29,622.1,619.59,620.285,1175040.0,14194.0,620.648366
2025-07-09 04:00:00+00:00,622.73,624.71,620.92,624.035,1426465.0,16358.0,622.94436
2025-07-10 04:00:00+00:00,624.22,626.87,623.04,625.955,1227230.0,13589.0,625.527766
2025-07-11 04:00:00+00:00,622.73,624.85,621.55,623.64,1267770.0,13429.0,623.938471
2025-07-14 04:00:00+00:00,623.13,625.105,621.81,624.71,789601.0,11595.0,624.140531
2025-07-15 04:00:00+00:00,627.53,627.855,622.08,622.19,1236356.0,13808.0,624.324003
2025-07-16 04:00:00+00:00,623.71,624.72,618.06,624.23,1452936.0,17471.0,622.182445
2025-07-17 04:00:00+00:00,624.32,628.4,624.21,627.98,1480188.0,18980.0,627.102052
2025-07-18 04:00:00+00:00,629.25,629.305,626.47,627.59,1096240.0,13779.0,627.619912
2025-07-21 04:00:00+00:00,628.76,631.52,628.345,628.73,1132745.0,12649.0,630.116666
2025-07-22 04:00:00+00:00,628.975,629.62,626.195,628.78,1155033.0,17343.0,628.437012
2025-07-23 04:00:00+00:00,631.54,634.16,629.755,634.16,1122298.0,14347.0,632.377992
2025-07-24 04:00:00+00:00,634.61,636.105,634.03,634.49,1163452.0,15382.0,635.169967
2025-07-25 04:00:00+00:00,635.13,637.575,634.895,637.02,1185831.0,13853.0,636.653014
2025-07-28 04:00:00+00:00,637.465,638.02,635.55,636.95,1204387.0,17307.0,636.76323
2025-07-29 04:00:00+00:00,638.35,638.63,634.365,635.26,936389.0,10159.0,635.941243
2025-07-30 04:00:00+00:00,636.0,637.63,631.63,634.56,1379785.0,17346.0,634.99222
2025-07-31 04:00:00+00:00,639.46,639.84,630.78,631.9,1442218.0,14878.0,635.272338
2025-08-01 04:00:00+00:00,626.33,626.33,619.31,621.74,2811106.0,32133.0,622.135746
2025-08-04 04:00:00+00:00,625.72,631.19,625.6,631.07,1152237.0,13591.0,629.618168
2025-08-05 04:00:00+00:00,631.79,632.6,627.065,628.025,971663.0,14629.0,629.045272
2025-08-06 04:00:00+00:00,629.06,633.41,628.165,632.7,858622.0,10661.0,631.772947
2025-08-07 04:00:00+00:00,636.255,636.955,629.195,632.36,1145664.0,12538.0,632.345962
2025-08-08 04:00:00+00:00,634.11,637.635,633.78,637.26,839695.0,10065.0,636.469431
2025-08-11 04:00:00+00:00,637.51,638.925,634.68,635.86,920276.0,10204.0,636.65205
2025-08-12 04:00:00+00:00,638.29,642.84,636.87,642.63,1073890.0,12860.0,641.101253
2025-08-13 04:00:00+00:00,644.87,646.15,642.725,644.92,999562.0,12023.0,644.302411
2025-08-14 04:00:00+00:00,642.805,645.62,642.36,644.9,695902.0,14904.0,644.510896
2025-08-15 04:00:00+00:00,646.06,646.06,642.63,643.52,930641.0,11060.0,643.929598
2025-08-18 04:00:00+00:00,642.855,643.91,642.2,643.21,743841.0,11545.0,643.176149
2025-08-19 04:00:00+00:00,643.155,644.1,638.53,639.75,1085544.0,12393.0,640.499137
2025-08-20 04:00:00+00:00,639.39,639.6,632.96,637.92,1484005.0,16390.0,636.610123
2025-08-21 04:00:00+00:00,636.22,637.955,633.87,635.63,748921.0,8324.0,635.910966
2025-08-22 04:00:00+00:00,637.755,646.49,637.3,645.31,1552404.0,16352.0,644.591003
2025-08-25 04:00:00+00:00,644.01,645.28,642.43,642.55,930938.0,10430.0,644.003023
2025-08-26 04:00:00+00:00,642.1,645.51,641.57,645.16,841072.0,8799.0,643.626636
2025-08-27 04:00:00+00:00,644.555,647.37,644.46,646.61,983313.0,10978.0,646.44907
2025-08-28 04:00:00+00:00,647.165,649.47,645.365,648.94,1274610.0,10891.0,648.05725
2025-08-29 04:00:00+00:00,647.455,647.82,643.195,645.03,1567462.0,16587.0,644.681974
2025-09-02 04:00:00+00:00,637.5,640.45,634.96,640.4,1128392.0,11558.0,638.194626
2025-09-03 04:00:00+00:00,642.78,644.21,640.5,643.605,1261642.0,14941.0,642.392107
2025-09-04 04:00:00+00:00,644.43,649.14,643.53,649.02,1525098.0,16052.0,646.985878
2025-09-05 04:00:00+00:00,651.455,652.2,643.4,647.22,1502714.0,15402.0,647.269032
2025-09-08 04:00:00+00:00,648.645,649.815,647.265,648.78,1164606.0,13377.0,648.516895
2025-09-09 04:00:00+00:00,648.945,650.845,647.28,650.26,1066471.0,11082.0,649.386565
2025-09-10 04:00:00+00:00,653.625,654.55,650.64,652.28,1367239.0,18331.0,652.653813
2025-09-11 04:00:00+00:00,654.25,658.32,653.625,657.55,1799918.0,18340.0,657.051001
2025-09-12 04:00:00+00:00,657.59,659.08,656.93,657.535,1822008.0,15996.0,657.988288
2025-09-15 04:00:00+00:00,659.58,660.995,659.38,660.85,1240180.0,14422.0,660.311834
2025-09-16 04:00:00+00:00,661.47,661.7,659.23,659.93,1249852.0,14555.0,660.212817
2025-09-17 04:00:00+00:00,660.04,661.68,654.33,659.36,1554851.0,15864.0,658.881445
2025-09-18 04:00:00+00:00,661.9,664.88,660.29,662.26,1602411.0,20402.0,662.879586
2025-09-19 04:00:00+00:00,662.305,664.55,660.37,663.54,1981962.0,22648.0,662.825851
2025-09-22 04:00:00+00:00,662.21,667.28,662.205,666.77,1670891.0,17897.0,665.479671
2025-09-23 04:00:00+00:00,666.73,667.34,662.0,663.26,1612174.0,18687.0,664.522415
2025-09-24 04:00:00+00:00,664.48,664.575,659.685,661.07,1262284.0,15917.0,661.572001
2025-09-25 04:00:00+00:00,657.93,659.39,654.42,657.79,1323167.0,17410.0,657.404372
2025-09-26 04:00:00+00:00,659.505,662.35,657.93,661.775,1232100.0,15829.0,660.648993
2025-09-29 04:00:00+00:00,664.375,665.17,661.89,663.65,1550736.0,16408.0,663.494592
2025-09-30 04:00:00+00:00,662.91,666.65,661.625,666.06,1435659.0,14819.0,664.066352
2025-10-01 04:00:00+00:00,663.195,669.37,663.09,668.535,1375663.0,15101.0,667.204198
2025-10-02 04:00:00+00:00,670.455,670.55,666.815,669.15,1276773.0,13112.0,668.857387
2025-10-03 04:00:00+00:00,670.005,672.66,668.17,669.21,1396816.0,14962.0,670.59335
2025-10-06 04:00:00+00:00,671.625,672.5,669.48,671.585,1210989.0,13553.0,671.366384
2025-10-07 04:00:00+00:00,672.55,672.99,667.695,669.14,1359694.0,14159.0,669.548601
2025-10-08 04:00:00+00:00,670.285,673.17,669.5,673.06,1039092.0,10956.0,672.141109
2025-10-09 04:00:00+00:00,673.52,673.93,669.23,671.19,1059480.0,10685.0,670.984041
2025-10-10 04:00:00+00:00,672.145,673.89,652.87,653.275,2226230.0,21818.0,661.517566
2025-10-13 04:00:00+00:00,660.695,664.6,659.8,663.065,1395785.0,16702.0,662.504007
2025-10-14 04:00:00+00:00,657.17,665.79,653.24,662.255,1403065.0,15646.0,661.166818
2025-10-15 04:00:00+00:00,666.775,670.2,658.99,665.08,1369827.0,14047.0,665.397374
