datetime,open,high,low,close
2025-05-12,1.12296,1.12429,1.10751,1.12296
2025-05-13,1.10956,1.11774,1.10956,1.10956
2025-05-14,1.11856,1.12646,1.11824,1.11856
2025-05-15,1.11819,1.12278,1.11748,1.11819
2025-05-16,1.11927,1.12199,1.11414,1.11927
2025-05-19,1.11876,1.1286,1.11736,1.11876
2025-05-20,1.12334,1.12773,1.12187,1.12334
2025-05-21,1.1288,1.13623,1.12874,1.1288
2025-05-22,1.13312,1.13446,1.12671,1.13312
2025-05-23,1.12818,1.13766,1.12799,1.12818
2025-05-26,1.13728,1.14189,1.13693,1.13728
2025-05-27,1.13885,1.1409,1.13252,1.13885
2025-05-28,1.13371,1.13456,1.12843,1.13371
2025-05-29,1.12337,1.13695,1.12271,1.12337
2025-05-30,1.13784,1.13904,1.13144,1.13784
2025-06-02,1.13533,1.14491,1.13533,1.13533
2025-06-03,1.14534,1.14551,1.13676,1.14534
2025-06-04,1.13845,1.14346,1.13594,1.13845
2025-06-05,1.1422,1.14943,1.14061,1.1422
2025-06-06,1.14538,1.14587,1.13723,1.14538
2025-06-09,1.14078,1.14403,1.13876,1.14078
2025-06-10,1.1428,1.14483,1.13746,1.1428
2025-06-11,1.14375,1.1491,1.1406,1.14375
2025-06-12,1.15093,1.16287,1.15028,1.15093
2025-06-13,1.16003,1.16121,1.14929,1.16003
2025-06-16,1.15567,1.16148,1.15249,1.15567
2025-06-17,1.15513,1.15741,1.15125,1.15513
2025-06-18,1.14826,1.153,1.14824,1.14826
2025-06-19,1.14775,1.14869,1.14485,1.14775
2025-06-20,1.15128,1.15346,1.14961,1.15128
2025-06-23,1.15009,1.15517,1.14555,1.15009
2025-06-24,1.1599,1.16359,1.15829,1.1599
2025-06-25,1.16122,1.16314,1.1591,1.16122
2025-06-26,1.16837,1.17434,1.16686,1.16837
2025-06-27,1.16922,1.17509,1.16843,1.16922
2025-06-30,1.17275,1.17716,1.17091,1.17275
2025-07-01,1.17872,1.18303,1.17678,1.17872
2025-07-02,1.18055,1.18103,1.17464,1.17982
2025-07-03,1.17991,1.18107,1.17169,1.17565
2025-07-04,1.17577,1.17877,1.17499,1.17667
2025-07-05,1.17702,1.17702,1.17702,1.17702
2025-07-07,1.17806,1.17902,1.16869,1.1708
2025-07-08,1.17079,1.17651,1.16827,1.17248
2025-07-09,1.17246,1.17291,1.16895,1.17185
2025-07-10,1.17167,1.17495,1.16704,1.17005
2025-07-11,1.17006,1.17144,1.16647,1.16843
2025-07-12,1.1688,1.1688,1.1688,1.1688
2025-07-14,1.16648,1.16985,1.16536,1.1665
2025-07-15,1.16663,1.16927,1.15925,1.16019
2025-07-16,1.16007,1.17227,1.15621,1.16375
2025-07-17,1.16376,1.16423,1.15559,1.15961
2025-07-18,1.1594,1.16731,1.15899,1.16195
2025-07-19,1.16207,1.16207,1.16207,1.16207
2025-07-21,1.16268,1.17168,1.16143,1.16931
2025-07-22,1.1693,1.1761,1.16789,1.17539
2025-07-23,1.17538,1.1775,1.17108,1.17697
2025-07-24,1.17663,1.17885,1.17308,1.17465
2025-07-25,1.17427,1.17608,1.17032,1.17402
2025-07-26,1.17401,1.17409,1.17401,1.17409
2025-07-28,1.17551,1.17701,1.15852,1.1588
2025-07-29,1.15877,1.1599,1.15187,1.15466
2025-07-30,1.15458,1.15725,1.13998,1.14046
2025-07-31,1.1408,1.14614,1.14014,1.14149
2025-08-01,1.14146,1.15977,1.13914,1.15839
2025-08-02,1.15831,1.15904,1.15831,1.15904
2025-08-04,1.15837,1.15905,1.15492,1.1572
2025-08-05,1.15687,1.15888,1.15276,1.15758
2025-08-06,1.15737,1.16687,1.1564,1.16596
2025-08-07,1.16593,1.16989,1.16128,1.1665
2025-08-08,1.1665,1.168,1.1628,1.16366
2025-08-09,1.16401,1.16401,1.16401,1.16401
2025-08-11,1.16475,1.16763,1.15896,1.16159
2025-08-12,1.16157,1.16975,1.15986,1.16755
